,Date,Open,High,Low,Close,Volume,Adjusted,Diff,RSI,Typical Price,MF,MFI,EMA,SO,EMA12,EMA26,MACD,Signal Line
0,2007-01-02,215.960007,215.960007,213.00999500000003,214.0,1008385,173.534836,,,214.32333400000002,216120435.15559003,,,,,,,
1,2007-01-03,213.600006,214.0,210.61000099999998,213.059998,758025,172.772568,-0.9400019999999927,,212.5566663333333,161123266.99732497,,,,,,,
2,2007-01-04,211.19999700000002,213.0,207.0,210.00999500000003,1716710,170.29925500000002,-3.0500029999999754,,210.00333166666667,360514819.5054833,,,,,,,
3,2007-01-05,210.940002,214.770004,206.830002,211.38000499999998,2977335,171.410248,1.3700099999999509,,210.993337,628197847.0168949,,,,,,,
4,2007-01-08,210.80000299999998,210.80000299999998,203.309998,204.990005,1553515,166.228531,-6.389999999999986,,206.36666866666667,320593715.27369666,,,,,,,
5,2007-01-09,206.399994,206.990005,200.820007,202.779999,2615800,164.436386,-2.210005999999993,,203.53000366666666,532393783.59126663,,,,,,,
6,2007-01-10,203.690002,203.699997,199.0,199.729996,1783875,161.96312,-3.050003000000004,,200.80999766666665,358219934.58762497,,,0.043042199216073454,,,,
7,2007-01-11,201.699997,203.559998,196.220001,199.229996,5028835,161.557648,-0.5,,199.66999833333333,1004107476.0686083,,,0.1622638551594845,,,,
8,2007-01-12,203.66000400000001,213.960007,203.199997,212.32000699999998,3416285,172.17248500000002,13.090010999999976,,209.82667033333328,716827706.4597116,,,0.8679247113868378,,,,
9,2007-01-15,215.99000499999997,220.600006,215.0,218.80000299999998,2426475,177.4272,6.479996,,218.13333633333332,529295087.27942497,,461.2284384373986,0.9261688830662655,,,,
10,2007-01-16,220.80000299999998,220.940002,216.039993,219.22000099999997,3211735,177.767776,0.41999799999999254,,218.73333200000002,702513498.05102,,463.6912640742098,0.9304206743357323,,,,
11,2007-01-17,219.80000299999998,220.0,209.80000299999998,212.229996,4346575,172.099503,-6.990004999999968,,214.00999966666666,930210514.3011416,,463.7726498821807,0.647653493217901,521.661170716516,,,
